chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20170209,2017-02-09,2017,2,9,Quinta-feira,0,1,0,0,
20170210,2017-02-10,2017,2,10,Sexta-feira,0,1,0,0,
20170211,2017-02-11,2017,2,11,Sábado,1,1,0,0,
20170212,2017-02-12,2017,2,12,Domingo,1,1,0,0,
20170213,2017-02-13,2017,2,13,Segunda-feira,0,1,0,0,
20170214,2017-02-14,2017,2,14,Terça-feira,0,1,0,0,
20170215,2017-02-15,2017,2,15,Quarta-feira,0,1,0,0,
20170216,2017-02-16,2017,2,16,Quinta-feira,0,1,0,0,
20170217,2017-02-17,2017,2,17,Sexta-feira,0,1,0,0,
20170218,2017-02-18,2017,2,18,Sábado,1,1,0,0,
20170219,2017-02-19,2017,2,19,Domingo,1,1,0,0,
20170220,2017-02-20,2017,2,20,Segunda-feira,0,1,0,0,
20170221,2017-02-21,2017,2,21,Terça-feira,0,1,0,0,
20170222,2017-02-22,2017,2,22,Quarta-feira,0,1,0,0,
20170223,2017-02-23,2017,2,23,Quinta-feira,0,1,0,0,
20170224,2017-02-24,2017,2,24,Sexta-feira,0,1,0,0,
20170225,2017-02-25,2017,2,25,Sábado,1,1,0,0,
20170226,2017-02-26,2017,2,26,Domingo,1,1,0,0,
20170227,2017-02-27,2017,2,27,Segunda-feira,0,1,0,1,Carnaval
20170228,2017-02-28,2017,2,28,Terça-feira,0,1,0,1,Carnaval
20170301,2017-03-01,2017,3,1,Quarta-feira,0,1,0,1,Quarta-feira de Cinzas
20170302,2017-03-02,2017,3,2,Quinta-feira,0,1,0,0,
20170303,2017-03-03,2017,3,3,Sexta-feira,0,1,0,0,
20170304,2017-03-04,2017,3,4,Sábado,1,1,0,0,
20170305,2017-03-05,2017,3,5,Domingo,1,1,0,0,
20170306,2017-03-06,2017,3,6,Segunda-feira,0,1,0,0,
20170307,2017-03-07,2017,3,7,Terça-feira,0,1,0,0,
20170308,2017-03-08,2017,3,8,Quarta-feira,0,1,0,0,
20170309,2017-03-09,2017,3,9,Quinta-feira,0,1,0,0,
20170310,2017-03-10,2017,3,10,Sexta-feira,0,1,0,0,
20170311,2017-03-11,2017,3,11,Sábado,1,1,0,0,
20170312,2017-03-12,2017,3,12,Domingo,1,1,0,0,
20170313,2017-03-13,2017,3,13,Segunda-feira,0,1,0,0,
20170314,2017-03-14,2017,3,14,Terça-feira,0,1,0,0,
20170315,2017-03-15,2017,3,15,Quarta-feira,0,1,0,0,
20170316,2017-03-16,2017,3,16,Quinta-feira,0,1,0,0,
20170317,2017-03-17,2017,3,17,Sexta-feira,0,1,0,0,
20170318,2017-03-18,2017,3,18,Sábado,1,1,0,0,
20170319,2017-03-19,2017,3,19,Domingo,1,1,0,0,
20170320,2017-03-20,2017,3,20,Segunda-feira,0,1,0,0,
20170321,2017-03-21,2017,3,21,Terça-feira,0,1,0,0,
20170322,2017-03-22,2017,3,22,Quarta-feira,0,1,0,0,
20170323,2017-03-23,2017,3,23,Quinta-feira,0,1,0,0,
20170324,2017-03-24,2017,3,24,Sexta-feira,0,1,0,0,
20170325,2017-03-25,2017,3,25,Sábado,1,1,0,0,
20170326,2017-03-26,2017,3,26,Domingo,1,1,0,0,
20170327,2017-03-27,2017,3,27,Segunda-feira,0,1,0,0,
20170328,2017-03-28,2017,3,28,Terça-feira,0,1,0,0,
20170329,2017-03-29,2017,3,29,Quarta-feira,0,1,0,0,
20170330,2017-03-30,2017,3,30,Quinta-feira,0,1,0,0,
20170331,2017-03-31,2017,3,31,Sexta-feira,0,1,0,0,
20170401,2017-04-01,2017,4,1,Sábado,1,2,0,0,
20170402,2017-04-02,2017,4,2,Domingo,1,2,0,0,
20170403,2017-04-03,2017,4,3,Segunda-feira,0,2,0,0,
20170404,2017-04-04,2017,4,4,Terça-feira,0,2,0,0,
20170405,2017-04-05,2017,4,5,Quarta-feira,0,2,0,0,
20170406,2017-04-06,2017,4,6,Quinta-feira,0,2,0,0,
20170407,2017-04-07,2017,4,7,Sexta-feira,0,2,0,0,
20170408,2017-04-08,2017,4,8,Sábado,1,2,0,0,
20170409,2017-04-09,2017,4,9,Domingo,1,2,0,0,
20170410,2017-04-10,2017,4,10,Segunda-feira,0,2,0,0,
20170411,2017-04-11,2017,4,11,Terça-feira,0,2,0,0,
20170412,2017-04-12,2017,4,12,Quarta-feira,0,2,0,0,
20170413,2017-04-13,2017,4,13,Quinta-feira,0,2,0,0,
20170414,2017-04-14,2017,4,14,Sexta-feira,0,2,0,1,Sexta-feira Santa
20170415,2017-04-15,2017,4,15,Sábado,1,2,0,0,
20170416,2017-04-16,2017,4,16,Domingo,1,2,0,0,
20170417,2017-04-17,2017,4,17,Segunda-feira,0,2,0,0,
20170418,2017-04-18,2017,4,18,Terça-feira,0,2,0,0,
20170419,2017-04-19,2017,4,19,Quarta-feira,0,2,0,0,
20170420,2017-04-20,2017,4,20,Quinta-feira,0,2,0,0,
20170421,2017-04-21,2017,4,21,Sexta-feira,0,2,0,1,Tiradentes
20170422,2017-04-22,2017,4,22,Sábado,1,2,0,0,
20170423,2017-04-23,2017,4,23,Domingo,1,2,0,0,
20170424,2017-04-24,2017,4,24,Segunda-feira,0,2,0,0,
20170425,2017-04-25,2017,4,25,Terça-feira,0,2,0,0,
20170426,2017-04-26,2017,4,26,Quarta-feira,0,2,0,0,
20170427,2017-04-27,2017,4,27,Quinta-feira,0,2,0,0,
20170428,2017-04-28,2017,4,28,Sexta-feira,0,2,0,0,
20170429,2017-04-29,2017,4,29,Sábado,1,2,0,0,
20170430,2017-04-30,2017,4,30,Domingo,1,2,0,0,
20170501,2017-05-01,2017,5,1,Segunda-feira,0,2,0,1,Dia do Trabalhador
20170502,2017-05-02,2017,5,2,Terça-feira,0,2,0,0,
20170503,2017-05-03,2017,5,3,Quarta-feira,0,2,0,0,
20170504,2017-05-04,2017,5,4,Quinta-feira,0,2,0,0,
20170505,2017-05-05,2017,5,5,Sexta-feira,0,2,0,0,
20170506,2017-05-06,2017,5,6,Sábado,1,2,0,0,
20170507,2017-05-07,2017,5,7,Domingo,1,2,0,0,
20170508,2017-05-08,2017,5,8,Segunda-feira,0,2,0,0,
20170509,2017-05-09,2017,5,9,Terça-feira,0,2,0,0,
20170510,2017-05-10,2017,5,10,Quarta-feira,0,2,0,0,
20170511,2017-05-11,2017,5,11,Quinta-feira,0,2,0,0,
20170512,2017-05-12,2017,5,12,Sexta-feira,0,2,0,0,
20170513,2017-05-13,2017,5,13,Sábado,1,2,0,0,
20170514,2017-05-14,2017,5,14,Domingo,1,2,0,0,
20170515,2017-05-15,2017,5,15,Segunda-feira,0,2,0,0,
20170516,2017-05-16,2017,5,16,Terça-feira,0,2,0,0,
20170517,2017-05-17,2017,5,17,Quarta-feira,0,2,0,0,
20170518,2017-05-18,2017,5,18,Quinta-feira,0,2,0,0,
20170519,2017-05-19,2017,5,19,Sexta-feira,0,2,0,0,
20170520,2017-05-20,2017,5,20,Sábado,1,2,0,0,
20170521,2017-05-21,2017,5,21,Domingo,1,2,0,0,
20170522,2017-05-22,2017,5,22,Segunda-feira,0,2,0,0,
20170523,2017-05-23,2017,5,23,Terça-feira,0,2,0,0,
20170524,2017-05-24,2017,5,24,Quarta-feira,0,2,0,0,
20170525,2017-05-25,2017,5,25,Quinta-feira,0,2,0,0,
20170526,2017-05-26,2017,5,26,Sexta-feira,0,2,0,0,
20170527,2017-05-27,2017,5,27,Sábado,1,2,0,0,
20170528,2017-05-28,2017,5,28,Domingo,1,2,0,0,
20170529,2017-05-29,2017,5,29,Segunda-feira,0,2,0,0,
20170530,2017-05-30,2017,5,30,Terça-feira,0,2,0,0,
20170531,2017-05-31,2017,5,31,Quarta-feira,0,2,0,0,
20170601,2017-06-01,2017,6,1,Quinta-feira,0,2,0,0,
